Frequency (Hz)	Level (dB)
0.976562	-93.591087
1.953125	-93.529602
2.929688	-93.492683
3.906250	-92.228806
4.882812	-92.610466
5.859375	-91.600304
6.835938	-90.865730
7.812500	-91.821632
8.789062	-91.442253
9.765625	-89.325729
10.742188	-87.465530
11.718750	-85.138657
12.695312	-86.122932
13.671875	-86.342812
14.648438	-86.198166
15.625000	-86.872948
16.601562	-85.759140
17.578125	-86.479309
18.554688	-84.415047
19.531250	-84.559334
20.507812	-84.615067
21.484375	-83.956223
22.460938	-84.645416
23.437500	-81.487656
24.414062	-82.235924
25.390625	-81.681458
26.367188	-81.778191
27.343750	-82.889015
28.320312	-81.682243
29.296875	-82.355301
30.273438	-83.066696
31.250000	-84.118553
32.226562	-82.143684
33.203125	-84.570694
34.179688	-84.922050
35.156250	-83.067276
36.132812	-83.138306
37.109375	-83.091530
38.085938	-84.847313
39.062500	-81.838432
40.039062	-81.762215
41.015625	-82.441811
41.992188	-82.136688
42.968750	-82.411385
43.945312	-83.395897
44.921875	-82.835297
45.898438	-82.618202
46.875000	-83.391350
47.851562	-81.853340
48.828125	-82.172829
49.804688	-81.996765
50.781250	-80.793297
51.757812	-81.620171
52.734375	-80.917130
53.710938	-80.353790
54.687500	-80.253098
55.664062	-79.900398
56.640625	-79.658340
57.617188	-79.602036
58.593750	-79.948593
59.570312	-79.386696
60.546875	-78.141907
61.523438	-78.238373
62.500000	-77.027145
63.476562	-78.913551
64.453125	-81.986023
65.429688	-81.629227
66.406250	-82.230759
67.382812	-82.470810
68.359375	-82.301399
69.335938	-79.107758
70.312500	-80.312607
71.289062	-80.306847
72.265625	-81.014992
73.242188	-79.896103
74.218750	-79.971367
75.195312	-79.684410
76.171875	-81.215042
77.148438	-79.873184
78.125000	-80.942093
79.101562	-81.613770
80.078125	-82.494530
81.054688	-82.582275
82.031250	-82.821304
83.007812	-81.749504
83.984375	-80.207512
84.960938	-79.594589
85.937500	-80.822479
86.914062	-79.008224
87.890625	-79.950989
88.867188	-81.337776
89.843750	-81.830177
90.820312	-80.439697
91.796875	-81.439857
92.773438	-82.040695
93.750000	-81.743500
94.726562	-81.769943
95.703125	-81.060066
96.679688	-80.419373
97.656250	-82.038040
98.632812	-80.648026
99.609375	-81.015038
100.585938	-80.604256
101.562500	-79.978668
102.539062	-80.548996
103.515625	-80.154366
104.492188	-80.860947
105.468750	-81.255516
106.445312	-80.638290
107.421875	-81.428703
108.398438	-81.283440
109.375000	-79.933395
110.351562	-79.901497
111.328125	-80.560532
112.304688	-81.247894
113.281250	-79.529274
114.257812	-79.148956
115.234375	-79.761894
116.210938	-79.416687
117.187500	-79.775604
118.164062	-75.486275
119.140625	-76.816063
120.117188	-69.340897
121.093750	-73.767342
122.070312	-79.061661
123.046875	-79.470154
124.023438	-80.455589
125.000000	-79.339401
125.976562	-80.328972
126.953125	-79.975777
127.929688	-80.168648
128.906250	-79.980217
129.882812	-79.880905
130.859375	-79.571449
131.835938	-80.078606
132.812500	-79.314362
133.789062	-80.062393
134.765625	-81.204872
135.742188	-78.367958
136.718750	-80.443710
137.695312	-80.098267
138.671875	-80.254791
139.648438	-79.475586
140.625000	-78.391106
141.601562	-79.981453
142.578125	-79.407768
143.554688	-80.101807
144.531250	-78.644501
145.507812	-78.706314
146.484375	-78.381668
147.460938	-79.714310
148.437500	-78.970749
149.414062	-77.770241
150.390625	-78.156364
151.367188	-79.372032
152.343750	-78.344376
153.320312	-78.563286
154.296875	-78.975449
155.273438	-77.956741
156.250000	-77.990097
157.226562	-78.404137
158.203125	-78.092247
159.179688	-79.446564
160.156250	-77.272255
161.132812	-79.173279
162.109375	-76.751625
163.085938	-78.708466
164.062500	-79.526398
165.039062	-77.622101
166.015625	-76.779655
166.992188	-77.516884
167.968750	-78.056450
168.945312	-78.858795
169.921875	-78.276909
170.898438	-78.025703
171.875000	-77.908134
172.851562	-77.798683
173.828125	-77.965317
174.804688	-77.481583
175.781250	-78.240944
176.757812	-77.205276
177.734375	-77.045891
178.710938	-76.883171
179.687500	-76.561607
180.664062	-77.047752
181.640625	-78.913330
182.617188	-76.722206
183.593750	-77.361328
184.570312	-76.616043
185.546875	-76.430145
186.523438	-76.806320
187.500000	-78.410057
188.476562	-76.823563
189.453125	-76.556915
190.429688	-76.196220
191.406250	-77.510727
192.382812	-75.048409
193.359375	-76.139465
194.335938	-74.515900
195.312500	-74.339127
196.289062	-75.990036
197.265625	-76.368668
198.242188	-75.137802
199.218750	-74.488068
200.195312	-74.708336
201.171875	-75.422104
202.148438	-73.529022
203.125000	-74.204193
204.101562	-75.241486
205.078125	-74.725998
206.054688	-73.888947
207.031250	-74.106659
208.007812	-74.580154
208.984375	-74.954079
209.960938	-74.008217
210.937500	-74.167084
211.914062	-73.758202
212.890625	-72.707489
213.867188	-71.224739
214.843750	-72.291656
215.820312	-72.852150
216.796875	-71.946533
217.773438	-72.053780
218.750000	-73.852509
219.726562	-72.356674
220.703125	-71.877640
221.679688	-72.094551
222.656250	-72.966614
223.632812	-71.159393
224.609375	-71.417328
225.585938	-72.773804
226.562500	-71.867561
227.539062	-70.156425
228.515625	-72.319298
229.492188	-70.797607
230.468750	-71.115692
231.445312	-70.393044
232.421875	-70.175507
233.398438	-69.373390
234.375000	-69.044441
235.351562	-70.305161
236.328125	-69.568764
237.304688	-69.227875
238.281250	-71.077209
239.257812	-68.524841
240.234375	-67.306496
241.210938	-63.847485
242.187500	-63.072010
243.164062	-67.722969
244.140625	-66.848648
245.117188	-66.741920
246.093750	-66.827202
247.070312	-66.280029
248.046875	-66.298996
249.023438	-65.878166
250.000000	-64.668861
250.976562	-65.619431
251.953125	-65.409660
252.929688	-64.024460
253.906250	-63.965244
254.882812	-63.828579
255.859375	-61.809963
256.835938	-63.593464
257.812500	-63.602234
258.789062	-63.733639
259.765625	-64.654488
260.742188	-63.303257
261.718750	-63.566692
262.695312	-62.852776
263.671875	-63.348679
264.648438	-62.839893
265.625000	-61.868553
266.601562	-62.519703
267.578125	-61.517586
268.554688	-61.253674
269.531250	-64.206886
270.507812	-62.630550
271.484375	-62.738792
272.460938	-63.202118
273.437500	-64.552513
274.414062	-64.266800
275.390625	-63.650875
276.367188	-63.489689
277.343750	-63.424938
278.320312	-64.917328
279.296875	-65.834061
280.273438	-66.500404
281.250000	-66.274925
282.226562	-65.531303
283.203125	-65.866722
284.179688	-66.738113
285.156250	-66.108978
286.132812	-66.254547
287.109375	-67.117722
288.085938	-66.624969
289.062500	-67.095871
290.039062	-66.715958
291.015625	-67.609695
291.992188	-67.943466
292.968750	-67.688126
293.945312	-67.914925
294.921875	-68.328613
295.898438	-69.092308
296.875000	-68.982246
297.851562	-70.341232
298.828125	-70.078934
299.804688	-69.987282
300.781250	-70.421745
301.757812	-69.669411
302.734375	-69.375069
303.710938	-70.749504
304.687500	-71.667824
305.664062	-71.042038
306.640625	-69.674858
307.617188	-71.000839
308.593750	-71.170364
309.570312	-69.541306
310.546875	-72.283600
311.523438	-72.667435
312.500000	-71.278336
313.476562	-71.598724
314.453125	-70.803932
315.429688	-71.463806
316.406250	-71.432793
317.382812	-71.567818
318.359375	-72.079491
319.335938	-72.835152
320.312500	-73.219246
321.289062	-73.151817
322.265625	-73.048714
323.242188	-72.998215
324.218750	-72.482346
325.195312	-73.407303
326.171875	-73.859154
327.148438	-73.497231
328.125000	-74.233421
329.101562	-72.418800
330.078125	-72.934769
331.054688	-72.366714
332.031250	-73.191849
333.007812	-73.242233
333.984375	-73.571342
334.960938	-73.459259
335.937500	-74.263420
336.914062	-74.123253
337.890625	-73.547066
338.867188	-74.035011
