Frequency (Hz)	Level (dB)
0.976562	-89.945564
1.953125	-89.900322
2.929688	-89.856995
3.906250	-89.651260
4.882812	-89.200027
5.859375	-88.819839
6.835938	-88.601868
7.812500	-88.988876
8.789062	-87.733994
9.765625	-87.608856
10.742188	-82.782181
11.718750	-79.272873
12.695312	-80.689896
13.671875	-82.751274
14.648438	-85.057648
15.625000	-86.106392
16.601562	-84.693848
17.578125	-85.015663
18.554688	-82.792664
19.531250	-83.177673
20.507812	-83.486198
21.484375	-83.356155
22.460938	-81.090782
23.437500	-81.492104
24.414062	-81.906609
25.390625	-81.774200
26.367188	-81.002098
27.343750	-80.405533
28.320312	-80.759315
29.296875	-80.671669
30.273438	-82.668953
31.250000	-82.961319
32.226562	-83.250923
33.203125	-83.317772
34.179688	-83.934242
35.156250	-82.795387
36.132812	-81.888741
37.109375	-82.553391
38.085938	-82.204475
39.062500	-82.616379
40.039062	-81.948761
41.015625	-83.390839
41.992188	-82.590958
42.968750	-82.071945
43.945312	-81.259735
44.921875	-81.833961
45.898438	-82.510887
46.875000	-82.410721
47.851562	-80.641312
48.828125	-81.188812
49.804688	-81.146904
50.781250	-80.789139
51.757812	-81.505951
52.734375	-81.263680
53.710938	-79.718811
54.687500	-79.682816
55.664062	-80.748520
56.640625	-78.562126
57.617188	-78.364044
58.593750	-78.823486
59.570312	-79.578545
60.546875	-77.605133
61.523438	-77.287064
62.500000	-78.888588
63.476562	-78.158188
64.453125	-81.326210
65.429688	-82.221725
66.406250	-81.894188
67.382812	-81.789474
68.359375	-81.252228
69.335938	-80.405983
70.312500	-81.726791
71.289062	-79.410004
72.265625	-80.209076
73.242188	-79.373314
74.218750	-78.871613
75.195312	-79.995979
76.171875	-80.466850
77.148438	-81.023666
78.125000	-80.119026
79.101562	-80.051765
80.078125	-81.671562
81.054688	-81.978943
82.031250	-81.365425
83.007812	-80.793228
83.984375	-80.085358
84.960938	-80.055595
85.937500	-78.798164
86.914062	-78.820206
87.890625	-79.960564
88.867188	-80.324074
89.843750	-80.209099
90.820312	-81.022346
91.796875	-80.260048
92.773438	-80.392693
93.750000	-80.352921
94.726562	-81.772659
95.703125	-80.850418
96.679688	-79.395897
97.656250	-80.642525
98.632812	-79.616577
99.609375	-79.612221
100.585938	-80.521042
101.562500	-79.343178
102.539062	-81.038689
103.515625	-78.963211
104.492188	-80.422867
105.468750	-80.023117
106.445312	-80.381210
107.421875	-79.360313
108.398438	-79.431816
109.375000	-78.068672
110.351562	-78.368187
111.328125	-80.151497
112.304688	-79.387276
113.281250	-77.486168
114.257812	-76.700729
115.234375	-76.948853
116.210938	-76.833755
117.187500	-76.807793
118.164062	-74.090302
119.140625	-74.332886
120.117188	-66.768944
121.093750	-71.937752
122.070312	-77.774467
123.046875	-77.735268
124.023438	-78.523285
125.000000	-77.974930
125.976562	-78.829185
126.953125	-78.712990
127.929688	-78.309090
128.906250	-77.697525
129.882812	-77.924675
130.859375	-77.476746
131.835938	-77.857399
132.812500	-77.789955
133.789062	-76.944725
134.765625	-77.805580
135.742188	-76.272507
136.718750	-77.891144
137.695312	-78.850479
138.671875	-76.653687
139.648438	-77.015343
140.625000	-77.281555
141.601562	-77.150414
142.578125	-76.006310
143.554688	-76.171318
144.531250	-75.775375
145.507812	-76.037369
146.484375	-75.968742
147.460938	-76.741249
148.437500	-76.019867
149.414062	-75.203964
150.390625	-75.743217
151.367188	-77.289299
152.343750	-75.772438
153.320312	-76.467751
154.296875	-75.601196
155.273438	-75.987373
156.250000	-74.653328
157.226562	-74.042053
158.203125	-74.362717
159.179688	-74.907288
160.156250	-73.998787
161.132812	-75.792206
162.109375	-73.831032
163.085938	-74.923180
164.062500	-75.236374
165.039062	-74.346260
166.015625	-73.910843
