Frequency (Hz)	Level (dB)
0.976562	-94.665390
1.953125	-94.682533
2.929688	-94.127693
3.906250	-94.485695
4.882812	-93.342964
5.859375	-92.893120
6.835938	-91.815987
7.812500	-92.683502
8.789062	-92.568611
9.765625	-91.142281
10.742188	-88.610786
11.718750	-89.304779
12.695312	-89.129089
13.671875	-88.695915
14.648438	-88.466942
15.625000	-87.079933
16.601562	-86.286476
17.578125	-86.785667
18.554688	-84.790718
19.531250	-87.605583
20.507812	-85.932594
21.484375	-85.448357
22.460938	-84.701080
23.437500	-84.218033
24.414062	-84.192032
25.390625	-83.846832
26.367188	-84.001350
27.343750	-84.275818
28.320312	-83.450615
29.296875	-83.465820
30.273438	-84.054359
31.250000	-85.798325
32.226562	-85.130257
33.203125	-83.993416
34.179688	-86.240334
35.156250	-84.638931
36.132812	-83.945908
37.109375	-84.038322
38.085938	-83.878975
39.062500	-86.479935
40.039062	-84.963074
41.015625	-84.192581
41.992188	-84.851242
42.968750	-83.963646
43.945312	-84.069107
44.921875	-83.328178
45.898438	-84.087341
46.875000	-84.202682
47.851562	-82.571053
48.828125	-82.497368
49.804688	-82.591232
50.781250	-81.215263
51.757812	-82.608276
52.734375	-82.304695
53.710938	-81.833649
54.687500	-80.987640
55.664062	-81.420013
56.640625	-79.643181
57.617188	-80.030426
58.593750	-81.251488
59.570312	-80.054611
60.546875	-80.652512
61.523438	-79.492760
62.500000	-79.430199
63.476562	-78.731354
64.453125	-82.271774
65.429688	-84.125687
66.406250	-82.550392
67.382812	-82.898438
68.359375	-83.193733
69.335938	-82.546616
70.312500	-81.880287
71.289062	-81.301865
72.265625	-81.595978
73.242188	-81.876709
74.218750	-81.118881
75.195312	-81.106537
76.171875	-83.215096
77.148438	-82.219994
78.125000	-82.651733
79.101562	-83.282776
80.078125	-84.227470
81.054688	-84.583977
82.031250	-83.600563
83.007812	-84.381027
83.984375	-82.695175
84.960938	-81.414307
85.937500	-83.307793
86.914062	-82.082443
87.890625	-81.653694
88.867188	-84.187523
89.843750	-83.234665
90.820312	-83.797920
91.796875	-82.965332
92.773438	-82.928085
93.750000	-82.954590
94.726562	-84.988037
95.703125	-84.292229
96.679688	-81.166153
97.656250	-83.978477
98.632812	-82.556198
99.609375	-83.005989
100.585938	-83.119041
101.562500	-82.048866
102.539062	-82.005890
103.515625	-81.424324
104.492188	-82.182045
105.468750	-82.542130
106.445312	-82.320969
107.421875	-82.397003
108.398438	-82.490685
109.375000	-81.259262
110.351562	-82.149780
111.328125	-82.297638
112.304688	-83.388451
113.281250	-81.229942
114.257812	-80.678192
115.234375	-81.977715
116.210938	-81.431030
117.187500	-79.456238
118.164062	-78.063774
119.140625	-79.922325
120.117188	-72.420769
121.093750	-75.395752
122.070312	-81.353355
123.046875	-81.112312
124.023438	-81.227112
125.000000	-82.162323
125.976562	-83.681671
126.953125	-81.986824
127.929688	-82.166107
128.906250	-81.061203
129.882812	-81.065269
130.859375	-82.164848
131.835938	-82.420204
132.812500	-82.323387
133.789062	-81.780678
134.765625	-81.882988
135.742188	-80.867485
136.718750	-81.906387
137.695312	-82.131691
138.671875	-81.896347
139.648438	-81.389946
140.625000	-80.596855
141.601562	-80.883629
142.578125	-81.249016
143.554688	-81.601158
144.531250	-81.483635
145.507812	-81.260208
146.484375	-82.248970
147.460938	-82.013626
148.437500	-80.933220
149.414062	-80.052147
150.390625	-80.711792
151.367188	-82.120331
152.343750	-80.867348
153.320312	-81.621803
154.296875	-80.870712
155.273438	-80.253799
156.250000	-80.558228
157.226562	-82.913635
158.203125	-81.298584
159.179688	-80.432228
160.156250	-80.232826
161.132812	-81.181046
162.109375	-79.330841
163.085938	-81.762413
164.062500	-81.047295
165.039062	-80.401215
166.015625	-79.708878
166.992188	-79.121803
167.968750	-80.209084
168.945312	-83.011520
169.921875	-80.200859
170.898438	-80.649162
171.875000	-81.827820
172.851562	-79.781334
173.828125	-81.078491
174.804688	-80.570076
175.781250	-79.831467
176.757812	-79.700653
177.734375	-80.257477
178.710938	-80.397881
179.687500	-79.746880
180.664062	-79.600800
181.640625	-81.055641
182.617188	-80.293907
183.593750	-79.964943
184.570312	-79.650337
185.546875	-79.974411
186.523438	-80.383377
187.500000	-80.665802
188.476562	-79.288513
189.453125	-79.532951
190.429688	-79.430099
191.406250	-80.252365
192.382812	-78.525337
193.359375	-80.064056
194.335938	-77.768211
195.312500	-77.533432
196.289062	-80.045662
197.265625	-79.612488
198.242188	-78.729752
199.218750	-79.299454
200.195312	-78.146751
201.171875	-77.933586
202.148438	-77.723915
203.125000	-78.247551
204.101562	-77.965805
205.078125	-78.757820
206.054688	-78.109520
207.031250	-77.603729
208.007812	-78.266701
208.984375	-77.748306
209.960938	-77.327881
210.937500	-77.470009
211.914062	-76.375519
212.890625	-77.214714
213.867188	-75.597008
214.843750	-77.286110
215.820312	-76.918388
216.796875	-76.276779
217.773438	-76.467789
218.750000	-77.933876
219.726562	-76.847763
220.703125	-76.581116
221.679688	-76.978851
222.656250	-77.073082
223.632812	-75.953087
224.609375	-76.091881
225.585938	-76.534828
226.562500	-77.033791
227.539062	-76.154030
228.515625	-77.378639
229.492188	-75.552010
230.468750	-75.955803
231.445312	-75.751724
232.421875	-75.343224
233.398438	-74.296829
234.375000	-74.279648
235.351562	-75.545982
236.328125	-75.042046
237.304688	-74.867882
238.281250	-75.867233
239.257812	-74.656723
240.234375	-73.315102
241.210938	-70.226372
242.187500	-69.798981
243.164062	-73.941933
244.140625	-73.147736
245.117188	-73.115028
246.093750	-73.569382
247.070312	-73.306656
248.046875	-73.357803
249.023438	-72.971443
