Frequency (Hz)	Level (dB)
0.976562	-92.243057
1.953125	-92.231995
2.929688	-92.331772
3.906250	-91.919739
4.882812	-91.957123
5.859375	-91.374290
6.835938	-90.322388
7.812500	-91.462975
8.789062	-90.822189
9.765625	-89.554291
10.742188	-85.484016
11.718750	-82.621078
12.695312	-84.517975
13.671875	-86.892479
14.648438	-88.514641
15.625000	-88.613106
16.601562	-87.485420
17.578125	-87.697998
18.554688	-86.741089
19.531250	-87.280533
20.507812	-88.987259
21.484375	-86.580643
22.460938	-86.245926
23.437500	-84.219872
24.414062	-85.280312
25.390625	-86.279228
26.367188	-84.783714
27.343750	-84.773224
28.320312	-85.889374
29.296875	-84.958084
30.273438	-85.901024
31.250000	-85.782005
32.226562	-84.666206
33.203125	-85.689484
34.179688	-86.213280
35.156250	-85.717339
36.132812	-85.923927
37.109375	-85.081238
38.085938	-86.832413
39.062500	-85.061188
40.039062	-86.231758
41.015625	-86.638580
41.992188	-85.934647
42.968750	-87.083893
43.945312	-86.466156
44.921875	-85.469093
45.898438	-86.336739
46.875000	-86.210251
47.851562	-84.950401
48.828125	-85.069183
49.804688	-83.978546
50.781250	-84.207161
51.757812	-84.486023
52.734375	-84.570038
53.710938	-83.412781
54.687500	-83.227150
55.664062	-84.771133
56.640625	-81.868095
57.617188	-81.439720
58.593750	-80.329750
59.570312	-78.417862
60.546875	-81.334618
61.523438	-80.834259
62.500000	-81.282974
63.476562	-82.467331
64.453125	-85.072182
65.429688	-86.848366
66.406250	-84.827171
67.382812	-86.704613
68.359375	-86.207489
69.335938	-84.874763
70.312500	-83.262932
71.289062	-83.714767
72.265625	-84.728409
73.242188	-83.360504
74.218750	-81.592033
75.195312	-81.518036
76.171875	-83.473526
77.148438	-82.789429
78.125000	-83.666214
79.101562	-84.519501
80.078125	-84.393852
81.054688	-84.190338
82.031250	-83.237007
83.007812	-83.618752
83.984375	-81.560364
84.960938	-81.387062
85.937500	-81.774086
86.914062	-82.440651
87.890625	-82.542046
88.867188	-83.123581
89.843750	-84.313026
90.820312	-83.303299
91.796875	-83.800568
92.773438	-83.423103
93.750000	-80.041023
94.726562	-83.853127
95.703125	-85.651276
96.679688	-82.934235
97.656250	-83.169571
98.632812	-83.828140
99.609375	-82.693863
100.585938	-83.113388
101.562500	-82.525757
102.539062	-81.817200
103.515625	-80.855736
104.492188	-80.029900
105.468750	-80.947662
106.445312	-82.290253
107.421875	-80.809723
108.398438	-80.524162
109.375000	-79.249718
110.351562	-78.568901
111.328125	-78.655807
112.304688	-77.735374
113.281250	-76.767189
114.257812	-75.257240
115.234375	-74.009674
116.210938	-72.817955
117.187500	-72.477776
118.164062	-67.028801
119.140625	-69.272026
120.117188	-57.907230
121.093750	-62.839031
122.070312	-73.156471
123.046875	-74.050880
124.023438	-75.335022
125.000000	-75.675095
125.976562	-77.044258
126.953125	-76.366867
127.929688	-76.452240
128.906250	-74.284515
129.882812	-74.360764
130.859375	-74.660133
131.835938	-74.973129
132.812500	-73.031578
133.789062	-71.967102
134.765625	-71.067085
135.742188	-71.243591
136.718750	-72.051025
137.695312	-69.704498
138.671875	-70.808098
139.648438	-70.403824
140.625000	-70.002190
141.601562	-69.646332
142.578125	-69.066513
143.554688	-66.870682
144.531250	-66.885757
145.507812	-68.367210
146.484375	-68.173424
147.460938	-68.468224
148.437500	-67.398369
149.414062	-66.027313
150.390625	-66.936913
151.367188	-65.671547
152.343750	-68.063148
153.320312	-69.614189
154.296875	-69.309814
155.273438	-69.907578
156.250000	-69.539230
157.226562	-69.976669
158.203125	-66.426476
159.179688	-69.237061
160.156250	-69.206429
161.132812	-70.678200
162.109375	-70.190720
163.085938	-72.553185
164.062500	-73.428207
165.039062	-73.988716
166.015625	-74.710396
166.992188	-73.440880
167.968750	-75.129051
168.945312	-76.390106
169.921875	-74.733284
170.898438	-75.401474
171.875000	-76.443130
172.851562	-75.710518
173.828125	-77.655098
174.804688	-77.527168
175.781250	-78.135933
176.757812	-77.054123
177.734375	-76.437744
178.710938	-75.692711
179.687500	-76.442665
180.664062	-77.684898
181.640625	-79.532234
182.617188	-78.451759
183.593750	-79.742119
184.570312	-78.670349
185.546875	-79.391953
186.523438	-80.095345
187.500000	-81.118050
188.476562	-79.917915
189.453125	-80.247467
190.429688	-79.521606
191.406250	-80.419235
192.382812	-78.397102
193.359375	-80.298607
194.335938	-78.376984
195.312500	-78.596321
196.289062	-81.650391
197.265625	-80.581520
198.242188	-80.493813
199.218750	-80.576286
200.195312	-80.888611
201.171875	-79.701004
202.148438	-79.018173
203.125000	-80.285805
204.101562	-79.944115
205.078125	-80.839333
206.054688	-80.300163
207.031250	-80.566399
208.007812	-81.102959
208.984375	-80.765900
209.960938	-80.357544
210.937500	-80.758957
211.914062	-79.538437
212.890625	-80.194977
213.867188	-79.551277
214.843750	-80.613846
215.820312	-80.385696
216.796875	-79.630135
217.773438	-79.973885
218.750000	-81.532150
219.726562	-81.079926
220.703125	-80.608475
221.679688	-80.693932
222.656250	-81.332375
223.632812	-80.909386
224.609375	-80.219917
225.585938	-80.847122
226.562500	-81.344772
227.539062	-81.082237
228.515625	-81.256165
229.492188	-80.216522
230.468750	-80.615021
231.445312	-80.528343
232.421875	-80.146278
233.398438	-79.399467
234.375000	-79.311676
235.351562	-81.038734
236.328125	-80.841537
237.304688	-80.644135
238.281250	-81.069984
239.257812	-80.345985
240.234375	-79.867050
241.210938	-78.776787
242.187500	-78.291756
243.164062	-79.670898
244.140625	-80.048706
245.117188	-79.081551
246.093750	-79.800301
247.070312	-78.795616
248.046875	-79.325836
249.023438	-79.269226
250.000000	-77.596855
250.976562	-78.767982
251.953125	-78.894958
252.929688	-78.214432
253.906250	-77.749298
254.882812	-76.461403
255.859375	-76.256653
256.835938	-77.940796
257.812500	-76.717018
258.789062	-77.894958
259.765625	-79.145538
260.742188	-77.920540
261.718750	-76.217407
262.695312	-76.363289
263.671875	-76.609581
264.648438	-76.105064
265.625000	-75.523979
266.601562	-75.740913
267.578125	-75.209869
268.554688	-74.034386
269.531250	-75.092743
270.507812	-75.085632
271.484375	-75.184212
272.460938	-73.716187
273.437500	-74.451820
274.414062	-74.454781
275.390625	-72.460724
276.367188	-72.359886
277.343750	-71.475197
278.320312	-72.292160
279.296875	-72.728691
280.273438	-72.248940
281.250000	-71.137909
282.226562	-70.310524
283.203125	-69.739639
284.179688	-70.873436
285.156250	-68.913467
286.132812	-68.432854
287.109375	-68.977638
288.085938	-66.771797
289.062500	-67.377945
290.039062	-67.143684
291.015625	-66.780807
291.992188	-66.689140
292.968750	-66.325241
293.945312	-65.679878
294.921875	-66.945206
295.898438	-67.982613
296.875000	-67.544090
297.851562	-68.547165
298.828125	-67.979248
299.804688	-68.255058
300.781250	-69.339447
301.757812	-69.488060
302.734375	-68.520416
303.710938	-69.936562
304.687500	-70.994598
305.664062	-70.424866
306.640625	-69.920715
307.617188	-71.416344
308.593750	-72.127029
309.570312	-70.853012
310.546875	-72.526169
311.523438	-73.161308
312.500000	-72.202522
313.476562	-73.746918
314.453125	-72.901825
315.429688	-73.432961
316.406250	-73.909737
317.382812	-73.555733
318.359375	-73.983643
319.335938	-76.140953
320.312500	-75.345970
321.289062	-76.112762
322.265625	-76.214249
323.242188	-75.842560
324.218750	-75.798943
325.195312	-77.154228
326.171875	-76.808449
327.148438	-76.296021
328.125000	-77.646774
329.101562	-75.032463
330.078125	-75.962151
331.054688	-75.751289
332.031250	-76.483833
333.007812	-76.759483
333.984375	-76.982475
334.960938	-76.660255
335.937500	-77.640442
336.914062	-77.545647
337.890625	-77.120865
338.867188	-78.122917
339.843750	-77.804642
340.820312	-77.456505
341.796875	-78.635094
342.773438	-78.162430
343.750000	-77.015373
344.726562	-78.645462
345.703125	-78.149033
346.679688	-78.644539
347.656250	-79.164879
348.632812	-78.370987
349.609375	-78.846329
350.585938	-79.648155
351.562500	-77.940262
352.539062	-78.129883
353.515625	-78.021675
354.492188	-77.687790
355.468750	-77.848267
356.445312	-78.268723
357.421875	-79.045746
358.398438	-80.076202
359.375000	-78.631798
360.351562	-78.403358
361.328125	-79.945152
362.304688	-79.425308
363.281250	-78.625114
364.257812	-78.630226
365.234375	-79.906502
366.210938	-81.015793
367.187500	-79.106224
368.164062	-80.313332
369.140625	-78.265503
370.117188	-79.187744
371.093750	-79.368027
372.070312	-79.659225
373.046875	-78.200081
374.023438	-78.730339
375.000000	-78.175690
375.976562	-79.155327
376.953125	-79.004303
377.929688	-78.689125
378.906250	-78.336243
379.882812	-78.437744
380.859375	-79.437500
381.835938	-78.813034
382.812500	-77.640732
383.789062	-78.536217
384.765625	-77.666870
385.742188	-78.653198
386.718750	-77.996902
387.695312	-78.747055
388.671875	-78.325363
389.648438	-77.212280
390.625000	-76.814926
391.601562	-79.267204
392.578125	-78.264893
393.554688	-76.746376
394.531250	-77.777870
395.507812	-77.059593
396.484375	-76.885162
397.460938	-77.265022
398.437500	-76.977257
399.414062	-75.843964
400.390625	-76.795937
401.367188	-76.763107
402.343750	-76.342087
403.320312	-75.039948
404.296875	-74.885109
405.273438	-76.914299
406.250000	-76.361969
407.226562	-75.184731
408.203125	-75.392769
409.179688	-74.896835
410.156250	-75.933212
411.132812	-74.698227
412.109375	-74.427559
413.085938	-73.194923
414.062500	-74.507912
415.039062	-73.943520
416.015625	-72.184357
416.992188	-72.236206
417.968750	-73.435905
418.945312	-71.978088
419.921875	-72.727158
420.898438	-70.940956
421.875000	-71.058334
422.851562	-70.332764
423.828125	-70.715279
424.804688	-68.778465
425.781250	-68.392967
426.757812	-69.254692
427.734375	-69.377724
428.710938	-68.923042
429.687500	-68.200165
430.664062	-67.033958
431.640625	-65.090279
432.617188	-66.371262
433.593750	-66.395088
434.570312	-66.194801
435.546875	-65.334892
436.523438	-65.445839
437.500000	-62.641228
438.476562	-64.101768
439.453125	-64.209007
440.429688	-65.685951
441.406250	-64.689423
442.382812	-65.068665
443.359375	-65.515778
444.335938	-66.133423
445.312500	-66.785728
446.289062	-67.051552
447.265625	-66.294060
448.242188	-67.944176
449.218750	-67.097305
450.195312	-69.040703
451.171875	-68.658218
452.148438	-69.708374
453.125000	-71.059204
454.101562	-70.402306
455.078125	-70.372864
456.054688	-70.831467
457.031250	-72.062889
458.007812	-71.846443
458.984375	-71.950264
459.960938	-71.875710
460.937500	-71.423538
461.914062	-72.856873
462.890625	-72.708115
463.867188	-73.196739
464.843750	-73.519516
465.820312	-73.933327
466.796875	-72.944420
467.773438	-74.086449
468.750000	-73.872482
469.726562	-73.003166
470.703125	-73.748482
471.679688	-75.368881
472.656250	-74.528191
473.632812	-75.481171
474.609375	-76.176193
475.585938	-76.550423
476.562500	-75.723587
477.539062	-75.453728
478.515625	-75.327850
479.492188	-76.956917
480.468750	-76.114517
481.445312	-75.607780
482.421875	-77.136360
483.398438	-75.928001
484.375000	-76.368073
485.351562	-76.892555
486.328125	-77.130768
487.304688	-76.964035
488.281250	-78.036522
489.257812	-75.613258
490.234375	-76.197044
491.210938	-76.850395
492.187500	-78.864357
493.164062	-76.032051
494.140625	-77.469780
495.117188	-77.530319
496.093750	-76.913750
497.070312	-78.233299
498.046875	-77.911751
499.023438	-78.221001
500.000000	-78.910378
500.976562	-77.411247
501.953125	-76.737129
502.929688	-77.845467
503.906250	-78.578987
504.882812	-77.991768
505.859375	-77.441650
506.835938	-77.613358
507.812500	-76.658325
508.789062	-78.554443
509.765625	-78.364845
510.742188	-76.767273
511.718750	-77.981049
512.695312	-77.660957
513.671875	-77.852150
514.648438	-78.362526
515.625000	-76.917374
516.601562	-77.995621
517.578125	-78.556793
518.554688	-76.975174
519.531250	-78.272743
520.507812	-78.084877
521.484375	-77.994125
522.460938	-77.489670
523.437500	-77.632393
524.414062	-78.959671
525.390625	-78.904716
526.367188	-78.569832
527.343750	-78.092636
528.320312	-77.518654
529.296875	-76.854523
530.273438	-77.612961
531.250000	-76.509254
532.226562	-76.235229
533.203125	-75.900391
534.179688	-77.247948
535.156250	-76.556236
536.132812	-76.200882
537.109375	-76.905228
538.085938	-76.996353
539.062500	-75.644699
540.039062	-76.596626
541.015625	-76.576584
541.992188	-75.595703
542.968750	-75.020836
543.945312	-75.833076
544.921875	-75.406197
545.898438	-75.781296
546.875000	-76.136925
547.851562	-74.223801
548.828125	-74.854416
549.804688	-74.933228
550.781250	-74.071548
551.757812	-74.084267
552.734375	-73.439011
553.710938	-73.250542
554.687500	-72.800293
555.664062	-72.833801
556.640625	-72.282631
557.617188	-72.816971
558.593750	-72.368729
559.570312	-71.687149
560.546875	-71.863358
561.523438	-71.804306
562.500000	-71.927429
563.476562	-69.852379
564.453125	-69.927788
565.429688	-70.893951
566.406250	-70.806015
567.382812	-69.490410
568.359375	-68.992622
569.335938	-68.768913
570.312500	-67.644547
571.289062	-68.711105
572.265625	-67.432648
573.242188	-67.081665
574.218750	-68.382889
575.195312	-67.018257
576.171875	-66.036819
577.148438	-65.184410
578.125000	-65.358360
579.101562	-66.243782
580.078125	-65.743355
581.054688	-64.925827
582.031250	-63.824345
583.007812	-63.893433
583.984375	-65.094246
584.960938	-65.248894
585.937500	-64.200050
586.914062	-63.506748
587.890625	-64.731689
588.867188	-64.213608
589.843750	-64.544586
590.820312	-64.752548
591.796875	-66.160934
592.773438	-65.608261
593.750000	-66.121918
594.726562	-66.865211
595.703125	-68.273460
596.679688	-67.399300
597.656250	-67.523666
598.632812	-68.634117
599.609375	-68.013084
600.585938	-69.637405
601.562500	-69.551674
602.539062	-69.587273
603.515625	-70.590622
604.492188	-70.967316
605.468750	-70.989639
606.445312	-71.436150
607.421875	-70.480156
608.398438	-73.047501
609.375000	-71.869759
610.351562	-71.301544
611.328125	-73.272697
612.304688	-72.843719
613.281250	-73.845665
614.257812	-73.201080
615.234375	-73.328033
616.210938	-73.579201
617.187500	-73.845428
618.164062	-73.825157
619.140625	-74.763206
620.117188	-74.134300
621.093750	-74.744225
622.070312	-74.282356
623.046875	-75.239273
624.023438	-74.994461
625.000000	-74.548363
625.976562	-75.128365
626.953125	-75.603409
627.929688	-75.464050
628.906250	-76.625000
629.882812	-75.666748
630.859375	-75.707939
631.835938	-76.420715
632.812500	-75.318565
633.789062	-75.656227
634.765625	-77.224228
635.742188	-75.849686
