Frequency (Hz)	Level (dB)
0.976562	-42.980671
1.953125	-42.021435
2.929688	-41.678932
3.906250	-42.466526
4.882812	-43.418308
5.859375	-43.971142
6.835938	-41.506798
7.812500	-41.829659
8.789062	-43.102871
9.765625	-44.464676
10.742188	-43.837147
11.718750	-44.035942
12.695312	-42.782463
13.671875	-43.426872
14.648438	-43.802635
15.625000	-42.255413
16.601562	-41.377384
17.578125	-42.251259
18.554688	-42.704292
19.531250	-43.158829
20.507812	-43.319260
21.484375	-43.033871
22.460938	-41.301537
23.437500	-42.988144
24.414062	-41.210846
25.390625	-42.977642
26.367188	-42.796268
27.343750	-41.390133
28.320312	-44.519859
29.296875	-43.645222
30.273438	-42.145176
31.250000	-42.293766
32.226562	-44.194733
33.203125	-41.824070
34.179688	-43.295898
35.156250	-43.568489
36.132812	-43.081310
37.109375	-43.337826
38.085938	-43.839474
39.062500	-43.333508
40.039062	-42.825775
41.015625	-43.466606
41.992188	-42.826530
42.968750	-41.899857
43.945312	-43.874813
44.921875	-42.014774
45.898438	-41.894222
46.875000	-42.960152
47.851562	-43.346664
48.828125	-42.815727
49.804688	-43.074192
50.781250	-42.173962
51.757812	-43.348511
52.734375	-43.356941
53.710938	-42.651917
54.687500	-42.628326
55.664062	-44.120583
56.640625	-42.658516
57.617188	-42.472317
58.593750	-43.903389
59.570312	-42.830708
60.546875	-43.335133
61.523438	-43.933830
62.500000	-44.577763
63.476562	-43.295689
64.453125	-43.313313
65.429688	-42.935745
66.406250	-42.642136
67.382812	-42.646469
68.359375	-43.790379
69.335938	-42.065540
70.312500	-43.798542
71.289062	-43.281384
72.265625	-43.115009
73.242188	-42.813915
74.218750	-42.249519
75.195312	-42.260788
76.171875	-43.385944
77.148438	-42.487877
78.125000	-41.011749
79.101562	-43.032124
80.078125	-43.355465
81.054688	-44.864094
82.031250	-43.972397
83.007812	-42.876404
83.984375	-42.044636
84.960938	-42.948788
85.937500	-42.949783
86.914062	-41.887604
87.890625	-41.939648
88.867188	-42.694473
89.843750	-43.477116
90.820312	-43.607769
91.796875	-43.643070
92.773438	-43.599384
93.750000	-42.714325
94.726562	-43.859150
95.703125	-42.966198
96.679688	-41.491371
97.656250	-43.518456
98.632812	-42.408688
99.609375	-43.262909
100.585938	-42.302505
101.562500	-42.045818
102.539062	-42.356529
103.515625	-41.368832
104.492188	-42.935249
105.468750	-43.375389
106.445312	-43.155254
107.421875	-42.292252
108.398438	-42.901505
109.375000	-41.869724
110.351562	-41.638145
111.328125	-43.649147
112.304688	-43.819157
113.281250	-42.861336
114.257812	-43.225986
115.234375	-42.858521
116.210938	-42.730759
117.187500	-42.369610
118.164062	-42.259621
119.140625	-42.822865
120.117188	-42.703617
121.093750	-43.242989
122.070312	-42.686665
123.046875	-42.639164
124.023438	-42.895359
125.000000	-42.509850
125.976562	-44.048199
126.953125	-43.381672
127.929688	-42.964245
128.906250	-42.424335
129.882812	-42.907112
130.859375	-42.479687
131.835938	-42.962486
132.812500	-42.676525
133.789062	-42.264191
134.765625	-43.893200
135.742188	-41.697063
136.718750	-43.419075
137.695312	-43.769848
138.671875	-42.544636
139.648438	-42.595200
140.625000	-42.303116
141.601562	-43.049591
142.578125	-42.854984
143.554688	-42.790833
144.531250	-43.107471
145.507812	-42.982262
146.484375	-42.652184
147.460938	-43.765137
148.437500	-42.548679
149.414062	-41.780621
150.390625	-42.849369
151.367188	-45.040775
152.343750	-43.202396
153.320312	-43.741520
154.296875	-42.832897
155.273438	-42.403332
156.250000	-42.558567
157.226562	-43.779263
158.203125	-43.190166
159.179688	-44.637711
160.156250	-42.119289
161.132812	-44.624840
162.109375	-41.512878
163.085938	-44.067245
164.062500	-43.625553
165.039062	-42.870499
166.015625	-42.026287
166.992188	-42.036102
167.968750	-42.888805
168.945312	-43.390224
169.921875	-43.241844
170.898438	-43.242966
171.875000	-43.013847
172.851562	-42.875820
173.828125	-43.605095
174.804688	-42.714165
175.781250	-43.520267
176.757812	-42.905979
177.734375	-43.039173
178.710938	-43.293129
179.687500	-42.124649
180.664062	-43.441174
181.640625	-44.815868
182.617188	-43.028858
183.593750	-43.376484
184.570312	-42.512402
185.546875	-42.575077
186.523438	-44.061134
187.500000	-44.742760
188.476562	-43.225361
189.453125	-43.147957
190.429688	-42.443371
191.406250	-44.034397
192.382812	-41.861443
